GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Pulaski, IN",2013,542861,526360,12971,6346,169282
"Putnam, IN",2013,987967,1189409,37258,17487,448027
"Randolph, IN",2013,802087,874909,25685,10290,254291
"Ripley, IN",2013,1045480,1027321,28470,16459,542304
"Rush, IN",2013,524277,672558,17032,7129,174906
"Scott, IN",2013,552701,753081,23938,9676,242767
"Shelby, IN",2013,1826901,1716993,44393,22580,708478
"Spencer, IN",2013,1352843,784877,20636,9918,261585
"St. Joseph, IN",2013,11871555,10395911,267573,151252,5115872
"Starke, IN",2013,431817,725684,23248,6784,141969
"Steuben, IN",2013,1269968,1226546,34267,20138,513828
"Sullivan, IN",2013,1123188,671920,21215,8422,257915
"Switzerland, IN",2013,225382,283387,10276,3449,78409
"Tippecanoe, IN",2013,7652768,5937632,179124,105050,3619555
"Tipton, IN",2013,483728,637813,15592,6326,162097
"Union, IN",2013,144991,246875,7303,2531,44633
"Vanderburgh, IN",2013,9782812,7050188,180943,127029,4555766
"Vermillion, IN",2013,864859,529239,15875,5952,206928
"Vigo, IN",2013,4868133,3573040,108078,61208,1980784
"Wabash, IN",2013,1133963,1175532,32322,16516,431853
"Warren, IN",2013,285521,370005,8442,2975,74043
"Warrick, IN",2013,2111858,2793732,61101,23347,683931
"Washington, IN",2013,580332,906757,27796,9554,204358
"Wayne, IN",2013,2494081,2363717,68064,37735,1114875
"Wells, IN",2013,1075612,1056885,27734,14572,409260
"White, IN",2013,911528,951930,24559,12528,324068
"Whitley, IN",2013,1124910,1266290,33275,16145,457821
"Adams, IN",2014,1441668,1240585,34775,20035,495729
"Allen, IN",2014,17937339,14660236,366813,230663,8139927
"Bartholomew, IN",2014,6265121,3594516,79654,59038,2563275
"Benton, IN",2014,403559,337521,8714,3894,92565
"Blackford, IN",2014,305806,422104,12481,4723,118103
"Boone, IN",2014,2814985,3848475,62345,37358,1094380
"Brown, IN",2014,264996,606451,15103,5803,85582
"Carroll, IN",2014,593463,772405,19995,7923,193814
"Cass, IN",2014,1339884,1327139,38655,18796,539874
"Clark, IN",2014,4710853,4383579,114907,63999,2027710
"Clay, IN",2014,674967,882677,26524,10957,255043
"Clinton, IN",2014,1308239,1142604,32861,14774,445528
"Crawford, IN",2014,187287,316811,10635,3590,64751
"Daviess, IN",2014,1064118,1207230,32633,17141,411676
"DeKalb, IN",2014,2298314,1594369,42293,26595,963292
"Dearborn, IN",2014,1572832,2038434,49830,19694,550085
"Decatur, IN",2014,1270291,997158,26374,17230,579885
"Delaware, IN",2014,3762980,3771431,115794,58580,1830553
"Dubois, IN",2014,2502294,2116960,42752,34161,1173821
"Elkhart, IN",2014,11862397,7728708,201774,148040,5504496
"Fayette, IN",2014,560766,828961,23635,8955,237579
"Floyd, IN",2014,2583377,3579118,76755,38840,1176353
"Fountain, IN",2014,503362,594175,16684,7365,173340
"Franklin, IN",2014,511578,928262,23002,8023,152388
"Fulton, IN",2014,625604,757126,20703,9561,245862
"Gibson, IN",2014,2904433,1339512,33407,23922,1026805
"Grant, IN",2014,3436119,2414895,68927,35370,1105004
"Greene, IN",2014,616114,1136617,32060,11165,237051
"Hamilton, IN",2014,15840448,19537175,304682,181087,6919255
"Hancock, IN",2014,2184263,3109121,72017,32034,953876
"Harrison, IN",2014,967713,1458687,38771,16033,374868
"Hendricks, IN",2014,5238848,6697356,156793,77405,2243270
"Henry, IN",2014,1139960,1619320,49258,17240,442938
"Howard, IN",2014,4492112,3020715,83020,48287,1878577
"Huntington, IN",2014,1385306,1349353,36719,19179,537504
"Jackson, IN",2014,1963892,1699271,44600,25197,859078
"Jasper, IN",2014,1588187,1383039,33309,16035,461629
"Jay, IN",2014,900663,780844,21157,10930,278594
"Jefferson, IN",2014,1395164,1192192,32820,16319,497268
"Jennings, IN",2014,634571,956151,27958,10251,283266
"Johnson, IN",2014,4384542,6263701,147763,67318,1877274
"Knox, IN",2014,1776898,1518107,37869,22812,709789
"Kosciusko, IN",2014,4944622,3296695,78839,47718,1865477
"LaPorte, IN",2014,4113569,4110092,112877,53506,1697705
"Lagrange, IN",2014,1429256,1352726,38603,20923,533291
"Lake, IN",2014,24287076,18856231,495977,242199,9217656
"Lawrence, IN",2014,1228271,1599469,45467,18726,485987
"Madison, IN",2014,3485852,4301135,129966,51809,1488399
"Marion, IN",2014,86735298,42630466,940660,723001,32511313
"Marshall, IN",2014,1664524,1714259,46909,25130,721492
"Martin, IN",2014,856232,349419,10123,8524,478241
"Miami, IN",2014,887398,1134777,36348,13436,365224
"Monroe, IN",2014,6012439,5019221,140034,86327,2641504
"Montgomery, IN",2014,1527326,1397519,37989,20279,647008
"Morgan, IN",2014,1422148,2670096,69971,22907,568356
"Newton, IN",2014,400229,531025,14050,5096,134983
"Noble, IN",2014,1873644,1665168,47198,23995,726251
"Ohio, IN",2014,113197,212209,5983,2180,45402
"Orange, IN",2014,570916,621848,19850,9914,255364
"Owen, IN",2014,450387,698376,21214,7504,183975
"Parke, IN",2014,298144,528396,16935,5452,101391
"Perry, IN",2014,720242,648574,19346,8758,263957
"Pike, IN",2014,942304,446739,12427,4758,180849
"Porter, IN",2014,6447692,7632257,168205,78974,2698128
"Posey, IN",2014,1201362,1134886,25567,11355,459693
"Pulaski, IN",2014,543648,513226,12957,6321,178947
"Putnam, IN",2014,955809,1202292,37139,17400,453903
"Randolph, IN",2014,817508,900236,25420,10249,259999
"Ripley, IN",2014,1076760,1063925,28569,16518,563869
"Rush, IN",2014,513079,662680,16890,7436,193024
"Scott, IN",2014,584206,790214,23875,9931,263427
"Shelby, IN",2014,1798809,1703415,44434,23070,744421
"Spencer, IN",2014,1395319,802267,20596,9962,272543
"St. Joseph, IN",2014,12599063,10899623,268528,153910,5311911
"Starke, IN",2014,434508,727938,23092,6762,145689
"Steuben, IN",2014,1324324,1279012,34354,20626,538990
"Sullivan, IN",2014,1073554,667114,21094,8542,263531
"Switzerland, IN",2014,221121,295244,10148,3362,77566
"Tippecanoe, IN",2014,8153719,6254230,180682,107305,3803010
"Tipton, IN",2014,484720,632837,15468,6419,178337
"Union, IN",2014,134501,245900,7242,2386,45279
"Vanderburgh, IN",2014,10084527,7356279,181107,128866,4786074
"Vermillion, IN",2014,833456,533331,15690,5991,214358
"Vigo, IN",2014,5062245,3691746,107764,61066,1996187
"Wabash, IN",2014,1176088,1199110,32170,16700,454418
"Warren, IN",2014,266909,348201,8434,2947,73724
"Warrick, IN",2014,2135607,2960602,61280,23782,734051
"Washington, IN",2014,604746,943536,27905,9618,211660
"Wayne, IN",2014,2575593,2469794,67732,38456,1160149
"Wells, IN",2014,1168029,1069643,27839,14415,434783
"White, IN",2014,938719,938420,24638,13011,358220
"Whitley, IN",2014,1174284,1303623,33433,16626,489930
"Adams, IN",2015,1531584,1230903,34967,20382,517834
"Allen, IN",2015,19061178,15449046,369446,235479,8633812
"Bartholomew, IN",2015,6342241,3772199,80403,60063,2721916
"Benton, IN",2015,347698,291597,8686,3842,93407
"Blackford, IN",2015,289844,425864,12408,4626,126497
"Boone, IN",2015,2923435,4179564,63943,38513,1179357
"Brown, IN",2015,270355,633771,15189,5789,89234
"Carroll, IN",2015,536092,738998,19937,7761,195247
"Cass, IN",2015,1326754,1325763,38290,18666,551644
"Clark, IN",2015,4900039,4617687,115914,66917,2197215
"Clay, IN",2015,715248,899172,26510,10915,278911
"Clinton, IN",2015,1365555,1126338,32865,14883,455868
"Crawford, IN",2015,189149,327146,10514,3536,68021
"Daviess, IN",2015,1205881,1256178,32772,17524,430748
"DeKalb, IN",2015,2395000,1659140,42327,27173,1017944
"Dearborn, IN",2015,1750691,2140720,49964,19906,578926
"Decatur, IN",2015,1285247,998343,26292,17184,598057
"Delaware, IN",2015,3822925,3872188,114914,59590,1919386
"Dubois, IN",2015,2729392,2173688,42881,34851,1231306
"Elkhart, IN",2015,13410574,8096897,203430,151729,5871542
"Fayette, IN",2015,557646,825234,23627,8809,242083
"Floyd, IN",2015,2670315,3773234,77326,39676,1259431
"Fountain, IN",2015,462054,582247,16527,6878,163676
"Franklin, IN",2015,520201,964421,22963,7879,156019
"Fulton, IN",2015,591038,760331,20568,9529,254639
